3000 176432
0 19 266
0 128 1896
0 141 1176
0 164 2929
0 227 1679
0 237 1015
0 295 1425
0 419 1679
0 427 784
0 446 2920
0 511 2814
0 546 749
0 632 1255
0 656 2580
0 813 507
0 833 2734
0 841 963
0 886 1702
0 916 2370
0 931 787
0 933 1375
0 1114 2817
0 1138 2561
0 1161 2713
0 1166 2391
0 1176 1788
0 1288 2237
0 1357 1340
0 1399 2151
0 1410 2114
0 1417 2668
0 1583 2389
0 1616 2444
0 1663 1242
0 1713 2591
0 1775 488
0 1786 2659
0 1827 1141
0 1918 2241
0 2049 1766
0 2102 295
0 2137 217
0 2174 1713
0 2177 706
0 2200 1331
0 2229 2708
0 2250 1879
0 2265 2745
0 2315 194
0 2464 2101
0 2465 1109
0 2470 1506
0 2516 2958
0 2543 774
0 2613 285
0 2647 2248
0 2713 2709
0 2780 2441
0 2823 2052
1 47 1442
1 110 2663
1 211 2699
1 272 924
1 278 102
1 312 2488
1 465 2748
1 550 2308
1 572 1489
1 631 747
1 633 290
1 676 1431
1 826 2900
1 827 492
1 844 2508
1 876 2179
1 979 2925
1 1000 2811
1 1043 1869
1 1061 1443
1 1134 1549
1 1143 1664
1 1234 1781
1 1274 2046
1 1360 2274
1 1384 1411
1 1449 870
1 1451 1800
1 1458 2951
1 1587 506
1 1616 1278
1 1633 124
1 1655 2994
1 1660 479
1 1746 1543
1 1778 2211
1 1794 1852
1 1890 2749
1 1987 2520
1 2014 493
1 2055 1415
1 2064 183
1 2098 2569
1 2110 2001
1 2115 1845
1 2119 1732
1 2163 508
1 2181 2427
1 2191 1914
1 2207 1133
1 2252 2636
1 2260 515
1 2344 2107
1 2418 793
1 2429 501
1 2537 923
1 2601 2801
1 2635 638
1 2668 1796
1 2677 2742
1 2718 2934
1 2866 1286
1 2903 566
1 2906 2253
1 2917 624
1 2937 1155
1 2961 2974
2 56 2485
2 129 2753
2 138 2578
2 348 2586
2 383 1436
2 384 1437
2 421 106
2 422 1098
2 586 674
2 635 2789
2 709 1513
2 716 577
2 836 928
2 900 2031
2 1010 2231
2 1068 722
2 1158 949
2 1188 2957
2 1336 291
2 1361 2059
2 1418 340
2 1523 2225
2 1567 2713
2 1579 2658
2 1594 324
2 1602 2246
2 1650 1139
2 1806 1841
2 1823 2662
2 1835 2769
2 1870 2686
2 1883 1409
2 1928 1464
2 2020 1481
2 2147 2001
2 2148 1122
2 2178 2862
2 2203 2967
2 2235 611
2 2304 2721
2 2347 2941
2 2394 367
2 2404 959
2 2445 1351
2 2448 478
2 2466 715
2 2483 1167
2 2494 2147
2 2657 2095
2 2661 1921
2 2677 40
2 2750 1274
2 2806 1684
2 2895 2506
2 2907 1452
2 2972 1420
3 26 2285
3 47 230
3 81 2267
3 137 794
3 209 2895
3 216 2912
3 281 2229
3 310 2634
3 324 106
3 382 1527
3 521 1428
3 600 1011
3 812 394
3 875 2186
3 904 2695
3 1014 327
3 1086 2811
3 1106 2215
3 1232 1125
3 1249 2650
3 1254 1855
3 1353 421
3 1464 161
3 1491 1309
3 1528 2377
3 1575 2724
3 1612 2458
3 1730 2534
