1500 44146
0 74 665
0 141 84
0 199 386
0 210 723
0 224 1153
0 237 1401
0 263 997
0 277 1142
0 360 273
0 582 344
0 605 337
0 692 865
0 704 557
0 707 1042
0 763 593
0 820 482
0 854 1107
0 938 405
0 986 922
0 1080 960
0 1105 1025
0 1116 789
0 1231 414
0 1236 502
0 1285 811
0 1374 1498
0 1388 887
0 1400 901
0 1429 848
0 1455 898
1 17 200
1 124 405
1 132 450
1 279 1027
1 340 142
1 356 969
1 473 657
1 501 900
1 516 1320
1 533 1478
1 650 1333
1 652 228
1 723 336
1 781 1453
1 787 981
1 959 1250
1 961 489
1 975 1390
1 1043 64
1 1047 428
1 1051 615
1 1070 973
1 1199 950
1 1225 1121
1 1237 89
1 1247 165
1 1339 393
1 1351 932
1 1445 1243
1 1458 937
1 1479 206
2 68 241
2 138 207
2 180 978
2 186 234
2 264 1015
2 458 1361
2 484 388
2 506 447
2 544 795
2 557 669
2 575 609
2 611 1085
2 622 216
2 626 805
2 647 613
2 788 733
2 826 146
2 939 998
2 1060 144
2 1069 1402
2 1159 424
2 1249 459
2 1289 1376
2 1363 580
2 1365 1022
2 1376 971
2 1379 643
2 1424 594
3 9 488
3 51 1257
3 89 105
3 91 531
3 174 424
3 228 726
3 376 155
3 382 1364
3 389 691
3 395 605
3 402 672
3 500 979
3 550 1329
3 579 186
3 588 194
3 697 1168
3 901 1084
3 953 713
3 988 1199
3 1067 1262
3 1100 265
3 1200 416
3 1207 309
3 1280 537
3 1283 6
3 1295 1308
3 1328 1192
3 1333 82
3 1390 880
3 1405 917
3 1427 1093
3 1436 565
4 2 150
4 34 953
4 151 738
4 157 255
4 188 972
4 250 115
4 339 131
4 366 480
4 391 1448
4 411 841
4 460 1147
4 515 1138
4 521 875
4 525 1106
4 538 1009
4 542 1398
4 575 676
4 607 994
4 697 813
4 708 638
4 738 197
4 758 787
4 782 424
4 840 673
4 905 720
4 915 1266
4 992 89
4 1039 441
4 1111 349
4 1174 360
4 1213 89
4 1246 354
4 1253 1026
4 1257 741
4 1261 1014
4 1293 342
4 1411 273
5 24 991
5 83 1392
5 158 283
5 204 618
5 262 1319
5 302 44
5 357 1437
5 412 695
5 440 19
5 465 601
5 588 1500
5 668 830
5 804 1142
5 836 66
5 955 248
5 984 330
5 1045 1067
5 1126 1015
5 1251 1248
5 1287 810
5 1377 598
5 1408 799
6 12 1440
6 53 106
6 56 1039
6 124 948
6 278 20
6 293 433
6 312 533
6 446 1058
6 454 976
6 483 1375
6 492 212
6 493 1169
6 570 714
6 636 801
6 642 1019
6 734 162
6 794 1469
6 816 1469
6 952 242
6 1009 401
6 1110 879
