2000 78431
0 9 801
0 27 1774
0 127 1948
0 164 414
0 244 1173
0 245 1354
0 278 1311
0 349 1877
0 410 128
0 447 1769
0 549 934
0 560 794
0 566 1515
0 637 1086
0 699 450
0 779 1425
0 800 1247
0 815 99
0 826 884
0 882 761
0 919 1359
0 1029 397
0 1105 1631
0 1261 298
0 1268 1001
0 1308 65
0 1321 244
0 1363 475
0 1457 1830
0 1551 592
0 1591 1600
0 1597 203
0 1600 1101
0 1673 1090
0 1712 1366
0 1721 952
0 1733 560
0 1926 1219
0 1946 1563
1 9 997
1 16 546
1 93 19
1 94 1760
1 220 1238
1 355 829
1 382 1243
1 515 1764
1 752 1703
1 773 181
1 788 1532
1 796 77
1 797 1814
1 867 207
1 993 1272
1 1028 882
1 1032 179
1 1108 1119
1 1123 1560
1 1127 1188
1 1144 209
1 1194 938
1 1224 713
1 1241 1311
1 1269 78
1 1367 127
1 1403 300
1 1412 323
1 1468 1430
1 1552 1536
1 1568 542
1 1614 734
1 1644 1346
1 1661 1565
1 1680 1384
1 1706 147
1 1740 243
1 1741 1135
1 1747 692
1 1919 1448
1 1977 1034
1 1984 1840
2 94 679
2 195 1720
2 199 685
2 248 212
2 277 1871
2 301 685
2 337 522
2 426 1648
2 433 1152
2 529 1030
2 655 140
2 684 1099
2 695 1976
2 761 1389
2 798 36
2 846 645
2 958 902
2 1174 1811
2 1277 1209
2 1377 157
2 1421 1229
2 1577 95
2 1752 91
2 1904 1588
2 1930 1710
2 1994 1965
3 96 1028
3 129 872
3 147 1187
3 157 624
3 256 1981
3 366 1931
3 474 1137
3 550 921
3 641 705
3 728 35
3 791 1275
3 832 1828
3 836 1524
3 873 248
3 898 695
3 1006 1365
3 1020 1916
3 1146 395
3 1155 1716
3 1282 1656
3 1314 1002
3 1340 1811
3 1380 816
3 1429 1819
3 1493 184
3 1498 776
3 1525 1892
3 1531 1945
3 1559 1816
3 1641 1978
3 1679 1210
3 1801 1855
4 54 1162
4 68 1645
4 99 1546
4 119 1324
4 123 1544
4 321 1012
4 343 377
4 353 1220
4 419 1316
4 455 1433
4 461 644
4 516 1946
4 543 1749
4 701 10
4 726 806
4 816 1928
4 840 560
4 1085 583
4 1102 1084
4 1108 1064
4 1158 1324
4 1237 491
4 1278 1642
4 1323 1263
4 1386 1534
4 1486 589
4 1498 1155
4 1522 1907
4 1547 713
4 1596 1891
4 1631 447
4 1661 390
4 1679 1294
4 1683 1214
4 1724 1483
4 1763 449
4 1770 1519
4 1773 246
4 1813 608
4 1824 333
4 1839 1974
4 1943 496
4 1951 120
4 1985 1901
4 1996 112
5 12 872
5 85 795
5 237 1724
5 254 640
5 267 360
5 320 1956
5 330 39
5 502 1316
5 521 1198
5 566 1287
5 628 1852
5 690 329
5 694 850
5 732 903
5 743 902
5 756 1558
5 789 646
5 915 1069
5 920 1144
5 949 1577
5 954 1191
5 967 13
5 1064 1663
5 1086 171
5 1114 1333
5 1122 1868
5 1126 833
5 1147 58
5 1241 33
5 1310 1982
5 1335 1069
5 1364 1223
5 1369 523
5 1422 1673
5 1482 1837
5 1592 1976
5 1596 185
5 1700 825
5 1710 1156
5 1740 1871
5 1772 1055
5 1774 812
5 1828 386
5 1844 897
5 1869 217
5 1915 298
6 1 149
6 16 291
6 20 731
6 39 1774
6 142 1411
6 154 1478
6 305 589
6 397 1123
6 411 767
6 432 229
6 438 1713
6 468 303
6 594 1825
6 697 1595
6 1015 156
6 1030 546
6 1037 1373
6 1058 1127
6 1080 1139
6 1126 1199
6 1169 785
6 1263 1947
6 1423 1380
6 1491 888
6 1522 1068
6 1535 929
6 1557 187
6 1639 928
6 1678 1690
6 1690 900
6 1711 1869
6 1719 906
6 1754 1071
6 1812 909
6 1868 327
6 1885 1924
6 1912 1264
6 1933 591
6 1999 1782
7 2 466
7 29 1964
7 110 1778
7 159 1797
7 168 313
7 191 166
7 225 973
7 239 420
7 293 810
7 294 1234
7 337 1123
7 341 1631
7 399 1647
7 493 1815
7 521 729
7 540 663
7 589 1404
7 723 256
7 877 632
7 892 126
7 921 659
7 1013 1177
7 1030 134
7 1063 1234
7 1122 1166
7 1178 625
7 1492 6
7 1554 408
7 1556 801
7 1757 1049
7 1776 1600
7 1914 1436
7 1926 757
7 1951 1866
7 1974 342
7 1985 640
7 1994 459
8 86 1392
8 106 1908
8 156 1733
8 169 984
8 193 1616
8 261 1605
8 305 534
8 431 982
8 452 578
8 495 1562
8 686 720
8 776 1149
8 837 1355
8 889 383
8 913 1676
8 999 437
8 1206 844
8 1474 1755
8 1490 1670
8 1570 85
8 1591 266
8 1644 1818
8 1713 405
8 1714 1383
8 1740 165
8 1743 696
8 1807 1112
8 1848 1150
8 1868 1504
8 1915 952
8 1934 1391
8 1938 1496
8 1946 221
8 1949 28
8 1951 1668
8 1979 1588
8 1984 307
9 72 1647
9 76 1246
9 200 1763
9 255 1122
9 276 1798
9 342 1359
9 380 213
9 403 1218
9 430 673
9 493 661
9 580 1357
9 625 1475
9 661 1349
9 679 1657
9 695 994
9 784 503
9 838 1043
9 905 245
9 914 1577
9 1058 835
9 1167 567
9 1202 230
9 1243 1893
9 1513 1143
9 1581 144
9 1602 195
9 1635 471
9 1682 1053
9 1786 711
9 1931 1167
9 1935 623
9 1969 1735
9 1989 306
10 13 1572
10 21 1627
10 118 1651
10 130 1386
10 204 1362
10 242 966
10 253 1707
10 254 305
10 366 811
10 456 1781
10 605 35
10 738 1408
10 764 1542
10 779 1067
10 936 1158
10 939 812
10 970 599
10 1150 950
10 1158 766
10 1176 1752
10 1185 638
10 1211 341
10 1252 1038
10 1276 1020
10 1289 1025
10 1332 142
10 1363 300
10 1422 1638
10 1436 1099
10 1441 158
10 1445 647
10 1460 1449
10 1484 944
10 1570 1383
10 1613 190
10 1650 1377
10 1655 1772
10 1694 1596
10 1717 1575
10 1772 35
10 1861 418
10 1941 898
11 81 1581
11 188 146
11 270 1509
11 304 678
11 319 671
11 345 391
11 351 830
11 404 1050
11 422 518
11 481 847
11 549 1137
11 568 1771
11 574 157
11 588 1065
11 619 1240
11 704 1931
11 739 480
11 799 1362
11 842 51
11 935 591
11 936 1845
11 943 1586
11 947 327
11 1010 201
11 1093 35
11 1113 1843
11 1136 904
11 1191 240
11 1204 147
11 1229 1886
11 1256 183
11 1291 909
11 1384 1958
11 1456 1192
11 1477 1396
11 1500 333
11 1503 1400
11 1504 104
11 1638 1080
11 1702 451
11 1709 802
11 1757 849
11 1767 542
11 1793 1049
11 1797 1439
11 1810 1441
11 1822 1633
11 1845 875
11 1857 663
11 1887 11
11 1985 44
11 1990 1372
12 11 185
12 32 401
12 79 753
12 196 1207
12 203 1656
12 215 859
12 300 1181
12 340 397
12 347 849
12 520 773
12 714 221
12 719 486
12 785 447
12 811 615
12 831 1318
12 1037 1492
12 1104 1851
12 1139 1823
12 1151 347
12 1290 786
12 1301 1499
12 1384 1382
12 1388 1720
12 1435 1478
12 1471 1805
12 1553 1037
12 1644 101
12 1693 305
12 1703 1135
12 1714 346
12 1737 1268
12 1811 1541
12 1839 1077
12 1928 64
12 1935 198
13 9 582
13 43 786
13 81 1722
13 182 1381
13 195 1138
13 211 959
13 254 370
13 447 800
13 511 570
13 535 888
13 536 1829
13 558 1076
13 601 898
13 606 1706
13 652 554
13 653 774
13 730 1348
13 836 1347
13 861 835
13 891 1736
13 898 388
