2500 122516
0 66 1305
0 126 1706
0 184 2058
0 248 697
0 264 1269
0 284 1438
0 316 1610
0 407 471
0 463 896
0 549 1159
0 653 1742
0 711 683
0 714 989
0 716 50
0 850 858
0 904 2171
0 906 54
0 1085 1588
0 1122 994
0 1163 636
0 1235 1467
0 1247 211
0 1257 195
0 1294 149
0 1414 790
0 1421 2110
0 1439 761
0 1450 1513
0 1451 1373
0 1476 1092
0 1501 1861
0 1566 1243
0 1719 793
0 1720 1674
0 1765 2485
0 1786 698
0 1791 1337
0 1910 694
0 2093 1554
0 2106 422
0 2231 1155
0 2233 131
0 2253 1989
0 2264 2460
0 2376 173
0 2392 1835
0 2408 722
0 2466 671
0 2484 1807
1 19 498
1 26 564
1 27 205
1 30 1646
1 48 1287
1 103 2455
1 168 96
1 170 1249
1 227 704
1 243 2480
1 301 767
1 327 1146
1 387 340
1 420 754
1 629 573
1 663 1785
1 686 25
1 697 2052
1 756 1210
1 801 251
1 832 1336
1 901 1679
1 922 1524
1 988 1157
1 1031 976
1 1051 152
1 1054 2246
1 1143 2351
1 1271 1816
1 1305 2404
1 1337 1136
1 1457 181
1 1507 759
1 1511 1450
1 1519 149
1 1529 286
1 1591 2466
1 1596 2361
1 1724 1989
1 1767 1887
1 1771 372
1 1774 225
1 1920 774
1 1966 1699
1 1982 125
1 2116 2160
1 2187 1874
1 2211 928
1 2235 1856
1 2278 1588
1 2281 1642
1 2361 1782
1 2452 2492
2 9 33
2 27 1988
2 41 675
2 69 1250
2 79 181
2 82 592
2 89 2348
2 148 1323
2 185 856
2 241 804
2 277 38
2 306 1391
2 323 2116
2 359 1092
2 399 2473
2 408 382
2 453 2415
2 473 723
2 484 585
2 492 776
2 511 879
2 531 1028
2 583 967
2 705 1548
2 707 1878
2 712 2075
2 723 319
2 842 506
2 886 1014
2 888 274
2 899 1208
2 924 362
2 961 166
2 1000 559
2 1008 2035
2 1052 1048
2 1062 1926
2 1102 1341
2 1105 858
2 1173 1644
2 1455 1008
2 1472 642
2 1479 914
2 1501 32
2 1526 2075
2 1602 1604
2 1733 1237
2 1769 1829
2 1794 1640
2 1820 1823
2 1834 1540
2 1838 713
2 1865 263
2 1957 1172
2 1962 946
2 1966 1645
2 2008 1575
2 2106 48
2 2147 1688
2 2160 1598
2 2163 1986
2 2180 262
2 2307 1765
2 2362 991
2 2430 1081
2 2480 403
2 2492 144
3 13 991
3 80 959
3 127 290
3 387 2163
3 436 896
3 485 102
3 683 2207
3 694 2162
3 699 1740
3 716 1007
3 733 2246
3 836 1709
3 958 497
3 1097 798
3 1149 425
3 1165 1273
3 1280 1752
3 1295 1059
3 1384 2396
3 1402 1599
3 1413 477
3 1447 1480
3 1483 1838
3 1540 724
3 1649 1610
3 1691 1035
3 1751 331
3 1789 1020
3 1838 512
3 1983 153
3 2038 1330
3 2066 795
3 2082 100
3 2206 1596
3 2280 1098
3 2377 1887
3 2436 964
3 2472 1111
3 2496 2208
4 69 1467
4 71 401
4 151 1610
4 239 1842
4 290 811
4 359 1426
4 388 1308
4 399 859
4 549 2119
4 587 1064
4 609 1769
4 632 1756
4 653 1444
4 852 1870
4 982 1193
4 1016 2169
4 1087 2017
4 1092 2131
4 1196 62
4 1263 810
4 1277 101
4 1314 1291
4 1412 1668
4 1506 731
4 1767 847
4 1820 488
4 1993 2439
4 2042 67
4 2061 242
4 2185 1934
4 2210 1447
4 2294 747
4 2303 1422
4 2319 495
4 2364 1478
4 2465 1661
5 70 1839
5 85 1609
5 119 847
5 148 604
5 152 932
5 183 2093
5 195 995
5 234 897
5 255 1613
5 289 2231
5 320 955
5 461 903
5 603 2092
5 607 1780
5 629 1000
5 639 1416
5 822 1598
5 895 512
5 913 1280
5 939 473
5 974 2228
5 987 2275
5 996 2134
5 1032 1005
5 1090 1901
5 1095 1463
5 1100 1864
5 1164 582
5 1198 1772
5 1308 1523
5 1402 1292
5 1403 2479
5 1579 1606
5 1606 2027
5 1620 490
5 1726 2199
5 1899 806
5 1943 1854
5 2059 314
5 2246 1860
5 2378 734
5 2413 1790
5 2448 1238
5 2487 44
6 8 1168
6 19 170
6 63 1072
6 161 620
6 166 1477
6 190 2047
6 332 2295
6 381 351
6 387 2208
6 425 425
6 493 78
6 564 1036
6 775 927
6 817 1377
6 857 552
6 875 1838
6 927 2348
6 963 16
6 1015 343
6 1018 21
6 1221 200
6 1251 781
6 1292 2286
6 1329 341
