100 2494
0 2 78
0 4 26
0 6 57
0 10 31
0 11 62
0 21 13
0 23 50
0 30 25
0 32 78
0 33 75
0 35 84
0 39 11
0 46 12
0 47 92
0 50 22
0 54 32
0 56 92
0 60 63
0 64 36
0 72 28
0 73 12
0 83 64
0 88 81
1 12 12
1 13 49
1 14 3
1 15 83
1 18 85
1 19 90
1 24 51
1 27 57
1 32 74
1 34 13
1 35 73
1 44 9
1 48 50
1 55 84
1 56 25
1 58 35
1 73 20
1 76 69
1 78 35
1 84 52
1 86 30
1 91 94
2 8 90
2 11 71
2 15 77
2 16 38
2 18 11
2 19 76
2 20 77
2 26 95
2 27 36
2 29 36
2 31 83
2 32 40
2 33 100
2 40 93
2 42 26
2 46 2
2 49 1
2 50 21
2 60 89
2 61 25
2 69 63
2 74 11
2 77 22
2 78 18
2 80 37
2 83 31
2 90 88
2 91 68
2 96 93
2 98 89
3 4 85
3 9 52
3 12 88
3 17 12
3 18 61
3 23 57
3 26 44
3 29 35
3 30 29
3 36 10
3 38 83
3 41 1
3 45 99
3 48 93
3 54 20
3 58 56
3 59 61
3 66 57
3 67 48
3 70 2
3 72 33
3 80 16
3 87 12
3 88 80
3 90 70
3 91 3
3 93 30
4 13 100
4 21 92
4 24 93
4 26 44
4 29 1
4 30 40
4 44 72
4 46 49
4 51 1
4 65 75
4 66 97
4 67 18
4 75 91
4 94 80
4 96 49
4 98 16
5 3 31
5 13 34
5 16 88
5 21 89
5 25 42
5 34 4
5 36 48
5 45 56
5 47 15
5 53 43
5 60 55
5 64 2
5 65 47
5 72 25
5 73 67
5 79 86
5 81 4
5 83 73
5 85 17
5 88 92
5 91 99
5 94 66
5 96 93
6 2 48
6 5 82
6 9 93
6 15 34
6 22 13
6 23 20
6 25 78
6 28 25
6 34 87
6 36 45
6 46 2
6 64 35
6 66 86
6 71 49
6 78 25
6 89 9
6 90 38
6 92 46
6 97 16
6 99 35
7 2 31
7 5 31
7 15 39
7 16 100
7 22 52
7 28 94
7 30 6
7 35 16
7 36 88
7 37 8
7 44 89
7 47 96
7 50 31
7 52 51
7 56 1
7 64 20
7 73 94
7 74 96
7 77 23
7 78 57
7 87 20
7 97 64
8 3 39
8 6 76
8 9 54
8 10 99
8 16 24
8 21 40
8 28 79
8 32 8
8 35 70
8 36 51
8 37 83
8 44 26
8 46 60
8 48 82
8 49 26
8 55 92
8 61 64
8 80 27
8 85 44
8 89 3
8 96 17
9 7 97
9 10 16
9 19 36
9 20 82
9 24 76
9 30 99
9 32 19
9 33 36
9 34 88
9 42 14
9 44 30
9 57 42
9 62 20
9 80 82
9 84 95
9 86 36
9 89 97
9 98 84
10 2 83
10 3 53
10 4 7
10 6 92
10 12 80
10 16 57
10 18 74
10 24 66
10 27 7
10 32 50
10 33 38
10 36 92
10 37 28
10 44 23
10 46 56
10 47 94
10 50 13
10 51 4
10 52 7
10 53 13
10 68 22
10 69 87
10 73 61
10 75 30
10 84 59
10 90 44
10 91 27
10 93 65
10 94 74
10 98 9
11 5 31
11 7 92
11 29 86
11 30 84
11 32 97
11 35 41
11 36 13
11 38 26
11 44 13
11 45 50
11 46 40
11 50 74
11 52 47
11 57 42
11 65 90
11 69 8
11 74 72
11 78 82
11 86 12
11 89 57
11 90 13
11 92 56
11 93 25
11 95 7
11 96 19
11 97 3
11 98 11
12 2 26
12 4 59
12 5 41
12 6 36
12 8 30
12 9 69
12 16 28
12 17 57
12 20 82
12 21 57
12 25 90
12 30 100
12 32 18
12 33 55
12 36 83
12 47 24
12 53 5
12 57 73
12 62 13
12 63 93
12 68 9
12 72 55
12 85 36
12 86 68
12 92 99
12 93 19
12 97 57
13 3 74
13 9 95
13 15 78
13 18 44
13 21 10
13 28 76
13 29 89
13 32 25
13 34 84
13 37 2
13 39 46
13 41 66
13 43 89
13 46 26
13 47 18
13 51 7
13 52 76
13 54 43
13 56 77
13 58 5
13 59 42
13 60 1
13 61 59
13 66 3
13 68 55
13 71 45
13 73 17
13 77 14
13 82 81
13 93 87
14 6 43
14 11 33
14 12 82
14 18 49
14 35 81
14 44 23
14 59 94
14 60 13
14 61 69
14 64 17
14 65 30
14 66 61
14 69 13
14 71 52
14 79 85
14 81 82
14 86 100
14 91 87
14 97 92
15 4 56
15 11 89
15 12 28
15 14 35
15 16 13
15 17 16
15 19 16
15 22 87
15 26 96
15 27 31
15 31 18
15 32 8
15 33 76
15 34 98
15 47 71
15 48 53
15 55 16
15 59 1
15 63 71
15 73 57
15 74 33
15 79 80
15 81 9
15 85 41
15 87 31
15 92 70
15 93 33
15 99 7
16 3 25
16 13 39
16 17 62
16 20 88
16 23 37
16 26 28
16 30 59
16 31 15
16 34 68
16 37 35
16 38 23
16 40 18
16 42 80
16 47 100
16 48 44
16 49 82
16 53 3
16 54 55
16 55 30
16 61 63
16 66 53
16 68 23
16 73 21
16 79 85
16 85 52
16 91 72
16 95 88
17 13 36
17 22 57
17 25 33
17 28 85
17 29 64
17 33 49
17 34 10
17 35 32
